frame_index,time_sec,local_frame_index,human_r,target_1_r,target_2_r,target_3_r,target_4_r,human_theta,target_1_theta,target_2_theta,target_3_theta,target_4_theta,human_phi,target_1_phi,target_2_phi,target_3_phi,target_4_phi,bbox_x,bbox_y,bbox_w,bbox_h,confidence,dog_dir,nose_x,nose_y,nose_conf,nose_x_m,nose_y_m,nose_z_m,right_eye_x,right_eye_y,right_eye_conf,right_eye_x_m,right_eye_y_m,right_eye_z_m,right_ear_base_x,right_ear_base_y,right_ear_base_conf,right_ear_base_x_m,right_ear_base_y_m,right_ear_base_z_m,right_ear_tip_x,right_ear_tip_y,right_ear_tip_conf,right_ear_tip_x_m,right_ear_tip_y_m,right_ear_tip_z_m,left_eye_x,left_eye_y,left_eye_conf,left_eye_x_m,left_eye_y_m,left_eye_z_m,left_ear_base_x,left_ear_base_y,left_ear_base_conf,left_ear_base_x_m,left_ear_base_y_m,left_ear_base_z_m,left_ear_tip_x,left_ear_tip_y,left_ear_tip_conf,left_ear_tip_x_m,left_ear_tip_y_m,left_ear_tip_z_m,throat_x,throat_y,throat_conf,throat_x_m,throat_y_m,throat_z_m,neck_x,neck_y,neck_conf,neck_x_m,neck_y_m,neck_z_m,withers_x,withers_y,withers_conf,withers_x_m,withers_y_m,withers_z_m,tail_base_x,tail_base_y,tail_base_conf,tail_base_x_m,tail_base_y_m,tail_base_z_m,tail_tip_x,tail_tip_y,tail_tip_conf,tail_tip_x_m,tail_tip_y_m,tail_tip_z_m,head_orientation_x,head_orientation_y,torso_orientation_x,torso_orientation_y,head_orientation_x_m,head_orientation_y_m,head_orientation_z_m,torso_orientation_x_m,torso_orientation_y_m,torso_orientation_z_m,trace3d_x,trace3d_y,trace3d_z
242,0.5,15,1.5597697169966924,2.977651078908021,2.29854907689179,1.9546850201303863,2.063774350470833,2.87337549145415,2.657852390389802,2.5714711616789914,2.42194698615111,2.1984824505141347,1.0216947700737358,1.3578071246513104,1.5661689628386841,2.066011069304588,2.4629318576529946,301.3798828125,173.3916473388672,249.5938720703125,269.67291259765625,0.9996596574783325,"[-0.9035480796952873, -0.42848671820601253]",398.578125,217.296875,0.3286595940589905,-1.772727263482195,-1.0383938770960883,4.696,423.890625,200.421875,0.44568464159965515,-1.4757069049587734,-1.0795792435441791,4.364,440.765625,229.953125,0.03676334023475647,-0.0,-0.0,0.0,415.453125,221.515625,0.1313774436712265,-0.0,-0.0,0.0,529.359375,276.359375,0.5740594267845154,-0.0,-0.0,0.0,542.015625,331.203125,0.5045135617256165,-0.0,-0.0,0.0,432.328125,246.828125,0.3304203450679779,-0.0,-0.0,0.0,343.734375,343.859375,0.8124951720237732,-1.3206589997605593,-0.06899195837926775,2.854,419.671875,259.484375,0.518661618232727,-0.0,-0.0,0.0,516.703125,297.453125,0.4816637933254242,-0.0,-0.0,0.0,449.203125,331.203125,0.6810890436172485,-0.9224326991635516,-0.13542269128114767,3.087,440.765625,369.171875,0.6455481648445129,-0.9008429508645854,0.04394403775849,2.888,-118.125,-80.15625,67.5,-33.75,-0.7515674374428197,-0.4776329431864581,-0.4560000000000004,-0.06530139577559979,-0.4310159731603417,2.1140000000000003,-1.0155880505853392,-0.5971716749778389,2.695
243,0.533,16,0.868431844628495,0.9962648298289288,0.856122973098762,1.2060187593956182,1.7572359614079671,0.35593326933000435,1.8956733425396597,1.1069787219730607,0.7909924560593742,0.890018636012716,-0.4263035791391058,1.1881380709321414,1.48510139263745,2.2708306489879937,2.7102871953649466,301.5322570800781,173.23188018798828,249.21810913085938,270.46343994140625,0.9998273253440857,"[-0.9016665815186597, -0.43243193195282664]",402.625,217.4609375,0.3012789487838745,-1.7472728708474035,-1.0396245118652538,4.707,423.875,200.5234375,0.45169514417648315,-1.4758128872174001,-1.0788895320260559,4.364,440.875,230.1640625,0.032702602446079254,-0.0,-0.0,0.0,415.375,221.6953125,0.13406939804553986,-0.0,-0.0,0.0,530.125,276.7421875,0.5916334986686707,-0.0,-0.0,0.0,542.875,331.7890625,0.506685197353363,-0.0,-0.0,0.0,432.375,247.1015625,0.29137954115867615,-0.0,-0.0,0.0,343.125,344.4921875,0.8317854404449463,-1.321507383005181,-0.066088736022713,2.85,419.625,259.8046875,0.46552011370658875,-0.0,-0.0,0.0,517.375,289.4453125,0.5690445303916931,-0.0,-0.0,0.0,445.125,331.7890625,0.70172119140625,-0.9304040376289839,-0.13097559551845406,3.049,440.875,369.8984375,0.7167301177978516,-0.9003519936371788,0.0472093109444096,2.888,-114.75,-71.984375,72.25,-42.34375,-0.7515674374428197,-0.4776329431864581,-0.4560000000000004,-0.06530139577559979,-0.4310159731603417,2.1140000000000003,-1.7363756394411431,-1.0381258988019202,4.685
244,0.567,17,0.8940426797976386,0.9908967588000607,0.8623725676427106,1.2107793115573044,1.7575446783357576,0.3654588216552574,1.8752043850871793,1.0832324602400867,0.7702744843541263,0.8746890733459701,-0.4207444478410938,1.1702079204657483,1.4634285537985374,2.260315936937943,2.7089075528849773,292.4988098144531,197.7705955505371,256.39453125,247.94469451904297,0.9998875856399536,"[-0.98192196674449, -0.18928616226399808]",379.9375,279.3125,0.6246019005775452,-0.0,-0.0,0.0,412.9375,246.3125,0.30408164858818054,-0.0,-0.0,0.0,437.6875,291.6875,0.030877424404025078,-0.0,-0.0,0.0,388.1875,283.4375,0.11802880465984344,-1.8225865202145175,-0.5472605462512153,4.63,511.9375,283.4375,0.15975476801395416,-0.0,-0.0,0.0,540.8125,361.8125,0.38962799310684204,-0.6964071234151289,0.016756631722796168,4.452,458.3125,291.6875,0.47038403153419495,-1.5510770653460373,-0.5741101641348484,5.449,322.1875,386.5625,0.8489139676094055,-1.1596882817157306,0.09880454977913017,2.337,404.6875,291.6875,0.5508231520652771,-0.0,-0.0,0.0,507.8125,304.0625,0.42740562558174133,-0.0,-0.0,0.0,433.5625,357.6875,0.5484903454780579,-0.9470702319917703,-0.007782520352422958,2.931,462.4375,431.9375,0.5863050222396851,-0.864220068310775,0.3506311652670977,3.106,-127.875,-24.75,74.25,-53.625,-0.7458933664780866,-0.4808545161915654,-0.4362200000000004,-0.055505273760644,-0.4285015492796757,2.0589222222222223,-1.1256527640591671,-0.34653864583502514,2.77
245,0.6,18,0.8714194795634788,1.0148341629061763,0.865168599966463,1.197561455299745,1.7407822597619074,0.37769295227534394,1.893670179549256,1.1173514188965261,0.7887037749276572,0.8853110679311933,-0.3675536889940326,1.1684020234578962,1.4549513484839245,2.2415709541349336,2.6962170785456325,287.90374755859375,209.99578666687012,260.07960510253906,236.77074813842773,0.9998723268508911,"[-0.98192196674449, -0.18928616226399808]",379.9375,279.3125,0.6235285997390747,-0.0,-0.0,0.0,412.9375,246.3125,0.3107578754425049,-0.0,-0.0,0.0,437.6875,291.6875,0.031287070363759995,-0.0,-0.0,0.0,388.1875,283.4375,0.11897037923336029,-1.8225865202145175,-0.5472605462512153,4.63,511.9375,283.4375,0.16097962856292725,-0.0,-0.0,0.0,540.8125,361.8125,0.3962269723415375,-0.6964071234151289,0.016756631722796168,4.452,458.3125,291.6875,0.4680774509906769,-1.5510770653460373,-0.5741101641348484,5.449,322.1875,386.5625,0.8470450639724731,-1.1596882817157306,0.09880454977913017,2.337,404.6875,291.6875,0.5456238389015198,-0.0,-0.0,0.0,507.8125,304.0625,0.43065014481544495,-0.0,-0.0,0.0,433.5625,357.6875,0.547207236289978,-0.9470702319917703,-0.007782520352422958,2.931,462.4375,431.9375,0.5784687399864197,-0.864220068310775,0.3506311652670977,3.106,-127.875,-24.75,74.25,-53.625,-0.7402192955133533,-0.4840760891966727,-0.41644000000000037,-0.045709151745688216,-0.4259871253990098,2.0038444444444443,-1.0846091073191038,-0.33390312120349536,2.669
246,0.633,19,0.9216971490000505,0.992241217592435,0.881539487909569,1.2291804601904268,1.770034400150069,0.36188457412461983,1.8463827222462132,1.059948042829766,0.7540226348854445,0.8606236271570251,-0.39140786381124776,1.1630279930933727,1.4513476635661247,2.2466062032385103,2.7017170502931656,277.55577087402344,229.10487270355225,260.6882858276367,226.75155448913574,0.9999266862869263,"[-0.929352086045932, -0.3691946643196168]",375.484375,305.5234375,0.4496777653694153,-1.1517083590577044,-0.23355025982089356,2.786,416.421875,272.8984375,0.33408793807029724,-1.6949522670775987,-0.6522672617695859,4.846,432.796875,272.8984375,0.2362678349018097,-0.0,-0.0,0.0,395.953125,301.4453125,0.09118615090847015,-1.0955083271069919,-0.2588955841133279,2.871,494.203125,309.6015625,0.2356313169002533,-0.0,-0.0,0.0,506.484375,378.9296875,0.2318563312292099,-0.0,0.0,0.0,432.796875,313.6796875,0.43973827362060547,-0.9722869978435167,-0.2132707343113742,2.998,305.890625,411.5546875,0.8031631112098694,-1.1922846315175943,0.18555410306727418,2.286,391.859375,313.6796875,0.29863083362579346,-1.0963186829324378,-0.2010350550913754,2.826,502.390625,325.9140625,0.42295539379119873,-0.0,-0.0,0.0,420.515625,366.6953125,0.6178690195083618,-0.9512189348573544,0.03147328148787887,2.77,473.734375,436.0234375,0.5789427757263184,-0.8096834534394258,0.3703800477157502,3.106,-126.90625,-20.390625,81.875,-40.78125,-0.7345452245486201,-0.48729766220178,-0.39666000000000035,-0.03591302973073243,-0.4234727015183438,1.9487666666666665,-1.1488360765284071,-0.23048710431463865,2.774
247,0.667,20,0.9215632224720811,1.0405356136825892,0.9004666678748486,1.2049450544044527,1.7269236882996606,0.415907507472484,1.8522387141506538,1.0955690691647826,0.755638237939903,0.853648019749066,-0.27518869711970884,1.1202065128923562,1.384477682536989,2.1753752919329394,2.666958078391984,273.93875885009766,237.74225568771362,259.1843376159668,222.595778465271,0.99993896484375,"[-0.9336748535812905, -0.3581218616476183]",372.796875,305.3046875,0.4811800718307495,-1.1583349914564098,-0.2334885870380285,2.774,417.140625,273.1796875,0.31478357315063477,-1.6895386233644707,-0.6501463368488057,4.846,433.265625,273.1796875,0.1868174821138382,-0.0,-0.0,0.0,396.984375,301.2890625,0.09952321648597717,-1.0924264479042116,-0.2599553368876524,2.875,493.734375,309.3203125,0.24181215465068817,-0.0,-0.0,0.0,525.984375,329.3984375,0.2181752622127533,-0.0,-0.0,0.0,441.328125,309.3203125,0.41041210293769836,-0.0,-0.0,0.0,304.265625,409.7109375,0.8734160661697388,-1.2006788069254877,0.1793867575353568,2.291,392.953125,313.3359375,0.31559520959854126,-1.0946044308276563,-0.2031201309879881,2.834,505.828125,317.3515625,0.33053818345069885,-0.0,-0.0,0.0,421.171875,365.5390625,0.5887451171875,-0.9552411576782837,0.02668050706461515,2.79,437.296875,421.7578125,0.6380342841148376,-0.9018166977762381,0.2758083980594189,2.842,-133.03125,-12.046875,84.65625,-48.1875,-0.728871153583887,-0.4905192352068873,-0.3768800000000003,-0.026116907715776648,-0.4209582776376779,1.8936888888888885,-1.1336757966523092,-0.22997910700179577,2.717
248,0.7,21,,,,,,,,,,,,,,,,269.48071670532227,244.4466893672943,259.8092861175537,220.69951581954956,0.999937891960144,"[-0.8916667692581811, -0.45269235977723044]",360.46875,289.1328125,0.4039241373538971,-1.2132354133803664,-0.3037356981683888,2.778,397.03125,272.8203125,0.24172794818878174,-1.7840177254356129,-0.6326483058192263,4.696,421.40625,301.3671875,0.08488601446151733,-0.0,-0.0,0.0,380.78125,305.4453125,0.11902700364589691,-1.1384955540318042,-0.2359038006861122,2.81,470.15625,325.8359375,0.19327083230018616,-0.0,-0.0,0.0,522.96875,333.9921875,0.27507245540618896,-0.0,-0.0,0.0,433.59375,309.5234375,0.5040183663368225,-0.9640507553383684,-0.2315744748185395,2.984,303.59375,415.5546875,0.8541678786277771,-1.1930937950729874,0.19855994895427206,2.272,384.84375,317.6796875,0.37200504541397095,-1.1191571341349345,-0.18214615866745423,2.806,494.53125,338.0703125,0.25815650820732117,-0.0,-0.0,0.0,425.46875,378.8515625,0.6358263492584229,-0.9221728708094573,0.0831765567289627,2.747,474.21875,431.8671875,0.6749570965766907,-0.8073450923591882,0.3502913183415951,3.106,-134.0625,-48.9375,69.0625,-40.78125,-0.7231970826191539,-0.4937408082119946,-0.3571000000000003,-0.016320785700820864,-0.41844385375701193,1.8386111111111108,-1.1614519929162006,-0.29083607990008925,2.655
249,0.733,22,0.8783366549475183,1.2735582469076572,1.1078065623517732,1.3337227342628153,1.8036674145106126,0.4471007964953491,1.841042363017478,1.2388653959642537,0.9029211201610451,0.9260474864704248,0.40633363650007737,1.216473150228067,1.4378490621370845,2.046079349803332,2.514342367124684,267.31260871887207,247.77991664409637,260.0537061691284,219.7543065547943,0.9999327659606934,"[-0.8916667692581811, -0.45269235977723044]",360.46875,289.1328125,0.40332022309303284,-1.2132354133803664,-0.3037356981683888,2.778,397.03125,272.8203125,0.24009084701538086,-1.7840177254356129,-0.6326483058192263,4.696,421.40625,301.3671875,0.08411895483732224,-0.0,-0.0,0.0,380.78125,305.4453125,0.1190284863114357,-1.1384955540318042,-0.2359038006861122,2.81,470.15625,325.8359375,0.19304531812667847,-0.0,-0.0,0.0,522.96875,333.9921875,0.27780240774154663,-0.0,-0.0,0.0,433.59375,309.5234375,0.5024725794792175,-0.9640507553383684,-0.2315744748185395,2.984,303.59375,415.5546875,0.8541153073310852,-1.1930937950729874,0.19855994895427206,2.272,384.84375,317.6796875,0.3707974851131439,-1.1191571341349345,-0.18214615866745423,2.806,494.53125,338.0703125,0.2601408064365387,-0.0,-0.0,0.0,425.46875,378.8515625,0.6361854076385498,-0.9221728708094573,0.0831765567289627,2.747,474.21875,431.8671875,0.6735901832580566,-0.8073450923591882,0.3502913183415951,3.106,-134.0625,-48.9375,69.0625,-40.78125,-0.7175230116544208,-0.4969623812171019,-0.3373200000000003,-0.006524663685865078,-0.415929429876346,1.783533333333333,-1.1850747453144963,-0.29675138999975215,2.709
250,0.767,23,0.7834367682553302,1.3326828143696168,1.1032347327750684,1.2879532408425496,1.7525668860194281,0.522259893559934,1.9176237357141221,1.3440652168067715,0.9841255881483756,0.983581595431095,0.47324788936218326,1.2249611171471124,1.4422032227313992,2.034928995828033,2.499179612143524,267.77181339263916,239.00220197439194,261.7039465904236,220.49519526958466,0.9980975985527039,"[-0.8118043909516363, -0.5839294741932822]",381.4375,289.4375,0.26470401883125305,-1.8667160359563146,-0.5028334269355306,4.619,418.5625,264.6875,0.40690213441848755,-1.6545785014205163,-0.7038701320090166,4.776,435.0625,268.8125,0.2599991261959076,-0.0,-0.0,0.0,414.4375,277.0625,0.11885929107666016,-1.7017831404211043,-0.6179190477289525,4.823,476.3125,322.4375,0.21930193901062012,-0.0,-0.0,0.0,505.1875,380.1875,0.5182414650917053,-0.0,0.0,0.0,443.3125,297.6875,0.47331467270851135,-0.0,-0.0,0.0,303.0625,409.0625,0.7981013059616089,-1.2065408177940424,0.1773068732126658,2.294,397.9375,314.1875,0.18717122077941895,-1.0836254488562822,-0.20140472440825224,2.863,509.3125,318.3125,0.6472565531730652,-0.0,-0.0,0.0,422.6875,367.8125,0.56195068359375,-0.935407790889038,0.03604002127918444,2.751,443.3125,417.3125,0.531050980091095,-0.8841752105730296,0.2587625134170273,2.871,-127.875,-28.875,86.625,-49.5,-0.7118489406896877,-0.5001839542222092,-0.3175400000000003,0.0032714583290907057,-0.41341500599568004,1.7284555555555552,-1.0966534846577765,-0.29675138999975215,2.709
251,0.8,24,0.8474978556008852,1.4823847937020866,1.2797511412128317,1.4454835644053174,1.875142919148504,0.6051426418354594,1.8686259534775982,1.3614169092109452,1.0405879516904115,1.0152277315433365,0.839270444261857,1.285335379703357,1.4811559628792976,1.9885600107884787,2.4180011665589323,267.99354219436646,234.6396355330944,263.69178652763367,219.91385740041733,0.9985005855560303,"[-0.8165774982839455, -0.5772358177524443]",373.984375,275.578125,0.1889350861310959,-0.0,-0.0,0.0,419.703125,267.265625,0.4307960569858551,-1.658174595085434,-0.6897269150434925,4.811,436.328125,267.265625,0.3091069757938385,-0.0,-0.0,0.0,415.546875,275.578125,0.1257290542125702,-1.6973293120465187,-0.6304944108898058,4.834,477.890625,321.296875,0.21799729764461517,-0.0,-0.0,0.0,498.671875,379.484375,0.5878403782844543,-1.1520068644701627,0.1622903791853028,5.191,440.484375,296.359375,0.3304138779640198,-0.0,-0.0,0.0,303.328125,408.578125,0.8437179327011108,-1.209798066185028,0.17619005833539678,2.302,382.296875,308.828125,0.1812528669834137,-1.1302648228348176,-0.22079682282514512,2.806,502.828125,317.140625,0.6472214460372925,-0.0,-0.0,0.0,419.703125,367.015625,0.5507528781890869,-0.950925734325652,0.03272352608357484,2.759,465.421875,429.359375,0.49967899918556213,-0.8484447288724016,0.3376257293111838,3.101,-128.84375,-41.5625,83.125,-49.875,-0.7061748697249546,-0.5034055272273165,-0.2977600000000003,0.013067580344046488,-0.4109005821150141,1.6733777777777776,-1.230259712618141,-0.38406210341945785,2.9595000000000002
